,unique_id,F7a,F7bA1,F7cA1,F7d,F7e,F7f,einkommen,F7g,F7h,F7i,F7j,F7k,F7lA1,F7mA1,F7n,F7o,wave_first
0,IDDE100001,1,13189,57,1,1,1,7,6,3,10,1,6,1,0,9,3,1
1,IDDE100002,1,26954,54,1,1,1,5,6,1,5,3,1,3,1,2,4,1
2,IDDE100003,1,77876,51,1,1,1,4,6,10,8,1,1,4,2,1,3,1
3,IDDE100005,2,85579,31,2,2,2,3,6,3,11,2,1,3,1,10,14,1
4,IDDE100006,1,48155,44,1,1,1,7,6,2,11,1,6,2,0,9,4,1
5,IDDE100007,2,10585,43,1,1,1,10,5,1,7,7,1,3,1,9,5,1
6,IDDE100008,1,77694,64,1,1,1,1,3,1,7,5,4,1,0,1,3,1
7,IDDE100009,2,24943,59,2,1,2,8,6,1,12,1,1,3,1,2,3,1
8,IDDE100010,1,63165,45,1,1,1,10,6,10,7,1,2,2,0,9,2,1
9,IDDE100011,1,82386,39,1,1,1,7,6,1,7,8,6,3,0,1,7,1
10,IDDE100014,2,10997,63,1,1,1,4,4,1,3,1,6,2,0,9,3,1
11,IDDE100015,2,77855,36,1,1,1,9,4,1,1,1,1,2,0,2,9,1
12,IDDE100017,2,40882,60,1,1,1,7,3,15,13,2,1,2,0,10,15,1
13,IDDE100018,2,41564,30,1,2,2,4,6,1,7,6,1,3,1,1,3,1
14,IDDE100019,1,44536,64,1,1,1,1,3,1,6,8,4,1,0,9,14,1
15,IDDE100020,1,52080,43,2,2,2,7,6,10,1,1,1,3,1,9,4,1
16,IDDE100021,1,12309,69,1,1,1,10,6,10,11,5,1,2,0,9,2,1
17,IDDE100022,2,10318,82,1,1,1,5,6,8,10,5,3,1,0,9,1,1
18,IDDE100024,2,46562,37,1,1,1,8,5,1,7,1,1,3,1,2,3,1
19,IDDE100025,1,36323,48,1,1,1,3,4,1,10,1,1,4,2,10,4,1
20,IDDE100026,2,18374,36,1,1,1,8,4,1,4,12,2,3,1,9,5,1
21,IDDE100028,1,45141,57,1,1,1,3,6,1,7,1,6,1,0,1,3,1
22,IDDE100029,2,41068,64,1,2,1,1,4,1,1,5,4,1,0,9,15,1
23,IDDE100030,2,98617,40,1,1,1,7,6,1,7,1,1,3,1,9,3,1
24,IDDE100033,2,71127,67,1,1,1,9,5,1,11,1,1,2,0,9,3,1
25,IDDE100034,1,39638,44,1,1,1,5,4,3,11,1,1,4,2,9,4,1
26,IDDE100035,1,58119,31,1,1,1,3,3,2,4,2,6,1,0,5,2,1
27,IDDE100036,1,53913,64,1,1,1,10,6,12,11,2,1,2,0,9,8,1
28,IDDE100037,2,18057,54,1,1,1,1,5,13,11,1,6,2,1,10,3,1
29,IDDE100038,1,58239,40,1,1,1,2,6,3,13,8,6,1,0,9,1,1
30,IDDE100039,2,33729,70,1,2,2,1,6,11,5,5,4,1,0,8,1,1
31,IDDE100040,2,12353,61,1,1,1,4,5,10,8,1,4,2,0,9,6,1
32,IDDE100041,1,13158,64,1,1,1,10,6,10,1,5,1,2,0,2,4,1
33,IDDE100042,1,80993,51,1,1,1,6,6,8,6,1,6,1,0,9,2,1
34,IDDE100043,1,63450,40,1,1,1,6,4,11,9,1,6,2,1,9,6,1
35,IDDE100044,1,4319,43,1,1,1,1,4,1,1,3,6,2,1,9,4,1
